subject,cond,roi,chi_sp,chi_sp_r2
P7,INHIB,frontal,0.8414090752028942,
P7,INHIB,lh,0.9607157828982351,
P7,INHIB,rh,0.5496289906883948,
P7,INIT,cacc,0.9054077846790618,
P7,INIT,frontal,1.4666015752043802,
P7,INIT,lh,0.6415938649117352,
P7,INIT,rh,0.9641484890683072,
P8,INHIB,cacc,0.6974786470604103,
P8,INHIB,frontal,0.5396606049269518,
P8,INHIB,lh,0.6235346508311842,
P8,INHIB,rh,0.3285442096951825,
P8,INIT,cacc,0.6354609348302218,
P8,INIT,frontal,0.3827776803408803,
P8,INIT,lh,0.5498256958686139,
P8,INIT,rh,0.7976717377972744,
P9,INHIB,cacc,0.8348300281462213,
P9,INHIB,frontal,0.2700031518909099,
P9,INHIB,lh,1.2080227958766043,
P9,INHIB,rh,1.0222307637745438,
P9,INIT,cacc,1.1142631191149661,
P9,INIT,frontal,0.6543858248781828,
P9,INIT,lh,1.0104985386752072,
P9,INIT,rh,1.1795208359707443,
